site_code,trt,year_trt,avg_richness,avg_richness2,avg_invsimpsons2,avg_shannons,avg_evenness_Sh,beta_invsimpsons,gamma_richness,log_spp_stab_cover,log_spp_asynch_cover,log_spatial_asynch_prod,log_alpha_stab_prod,log_gamma_stab_prod,temp_mean,temp_sd,TEMP_VAR_v2,MAP_VAR_v2,res_log_spatial_asynch_prod,res_log_alpha_stab_prod,res_log_gamma_stab_prod,resGamma_prod
bogong.au,Control,4,18.08333333,4.176588732,1.757324206,5.788745499,0.603910094,1.062250384,22.75,0.921568539,0.963202364,0.447387279,1.173093732,1.620481011,279.25,42.40797926,489.9922677,26.48821526,0.189140274,0.451261489,0.636026895,0.501860371
bogong.au,Fertilized,4,18.08333333,4.176588732,2.097562959,7.007855067,0.661311783,1.431124918,25.25,0.993546643,0.951992508,0.045194057,1.259967156,1.305161213,290,41.44394418,489.9922677,26.48821526,-0.156620944,0.528217609,0.363971837,0.196917936
burrawan.au,Control,4,9.333333333,3.222392421,1.244501905,3.394065637,0.531492086,1.036531275,14.75,0.574158766,0.829813796,0.56010102,0.746272784,1.306373804,248.75,61.09779727,497.4823015,41.48761273,0.352534402,0.020993778,0.330322539,0.340710177
burrawan.au,Fertilized,4,9.166666667,3.196397213,1.483781838,3.970685201,0.570520166,1.179443385,14.25,0.368377938,0.663354754,0.397961744,0.286751263,0.684713007,257.75,91.85924233,497.4823015,41.48761273,0.294707266,-0.403470952,-0.206364464,-0.269371248
cbgb.us,Fertilized,4,7.75,2.95419631,1.38220926,3.699136825,0.632559854,2.347548217,16.5,0.390462772,1.388612667,0.253889818,0.950195968,1.204085786,418,70.5559487,1122.075674,46.25499319,0.101596895,0.235949441,0.308334363,0.30336514
cbgb.us,Control,4,8.333333333,3.058893689,1.624233174,4.219874412,0.661674976,1.175793837,19,0.640114681,0.986505848,0.635485168,0.800720701,1.43620587,350,68.80749141,1122.075674,46.25499319,0.287821506,-0.038470483,0.239067478,0.522529377
cdcr.us,Fertilized,4,5.916666667,2.564784619,1.65104634,3.791818415,0.719427335,1.15736182,13,0.513135459,0.825068282,0.053308554,0.480721911,0.534030466,325.125,85.28563056,1215.737934,53.0748237,-0.110812429,-0.255082751,-0.363305474,-0.283220482
cdcr.us,Control,4,10.58333333,3.403722186,2.158650894,5.907079532,0.750842659,1.287000635,17.75,0.550909888,0.791907963,0.16801015,0.531500403,0.699510552,293.875,76.7333677,1215.737934,53.0748237,-0.230078084,-0.361886285,-0.588057539,-0.258052768
cdpt.us,Fertilized,4,9.916666667,3.309855263,1.827566186,4.751614514,0.671212985,1.300274748,18.25,0.309778173,2.108153334,0.227571285,0.281193979,0.508765263,265.905,23.69366222,1006.799906,63.28145436,0.091429623,-0.351654705,-0.309618257,-0.446859197
cdpt.us,Control,4,11.33333333,3.502500341,2.05763291,5.582721778,0.700937479,1.304947253,20.25,0.889732539,1.444760576,0.135901927,0.490930631,0.626832558,256.185,24.8139681,1006.799906,63.28145436,-0.146216756,-0.3019392,-0.468899124,-0.356942228
chilcas.ar,Fertilized,4,5.333333333,2.415037499,0.523765382,1.912883161,0.24931862,0.937017024,11.5,1.382568779,0.733904816,1.082453467,0.898645112,1.981098579,332.875,40.09667646,497.6117157,25.5935827,0.872425036,0.166526891,1.038234056,1.104918016
chilcas.ar,Control,4,10.66666667,3.415037499,1.858950172,5.057751729,0.538567627,0.902176154,23,0.663652572,1.540635801,0.380352096,0.806268358,1.186620454,346.875,38.27037549,497.6117157,25.5935827,0.118855118,0.085860387,0.203333179,0.188711911
comp.pt,Control,4,21.41666667,4.420662048,2.898928295,11.07177782,0.769633859,1.340403511,32.75,0.325248293,1.378861344,0.193532311,0.422480682,0.616012993,456,82.96204154,515.6740189,63.04059138,0.003739283,-0.306872941,-0.346844063,-0.515120884
comp.pt,Fertilized,4,15.66666667,3.969626351,2.649562778,8.611666329,0.775034274,1.389678319,25,-0.03115599,1.132928904,0.041605093,0.344697927,0.38630302,418.25,138.9767184,515.6740189,63.04059138,-0.050987927,-0.284147094,-0.431701559,-0.665365379
cowi.ca,Fertilized,4,3.833333333,1.938599455,0.248100464,1.420392184,0.255973011,0.998704267,5.5,1.672964185,0.670989923,0.000596585,0.594560497,0.595157082,302,28.97614512,487.9430797,64.8927335,-0.098303101,-0.036421393,-0.221189642,-0.196910789
cowi.ca,Control,4,4.75,2.247927513,0.362160307,1.659711845,0.319325774,0.997223099,7.75,1.118361355,0.249332169,0.021330045,0.662317112,0.683647157,201.75,51.38445955,487.9430797,64.8927335,-0.172547726,-0.071558906,-0.283701553,-0.15079671
elliot.us,Fertilized,4,7.583333333,2.922832139,1.625174017,3.877215594,0.702287265,1.243007998,13.5,0.107098511,0.338180467,0.039896262,0.636073977,0.67597024,435.25,278.8409649,389.3066499,91.63145081,-0.278967236,0.044339657,-0.072647184,-0.206686751
elliot.us,Control,4,10.66666667,3.415037499,1.914380564,5.041290662,0.661736084,1.097703717,17,0.148970682,0.486728413,0.422299789,1.058537384,1.480837173,477.25,252.7349643,389.3066499,91.63145081,0.135388388,0.295893053,0.495589944,0.505195635
frue.ch,Fertilized,4,11.83333333,3.564784619,2.695212214,7.924549823,0.835967106,1.140623935,14.5,0.423854911,1.605929481,0.060168831,1.499635191,1.559804021,514.75,67.6195373,625.5573169,22.73913361,-0.180422904,0.784644825,0.623115212,0.58960186
frue.ch,Control,4,13.91666667,3.798741792,2.873420352,9.185791634,0.84692771,1.128022785,17.75,0.526861033,1.300683855,0.029095675,1.327996851,1.357092525,505.5,81.28838582,625.5573169,22.73913361,-0.242768627,0.618702239,0.383471903,0.348158684
hall.us,Control,4,6.25,2.64385619,1.353025116,3.286783935,0.702190964,1.139692484,9.75,0.238632853,1.263432882,0.111109593,0.654448352,0.765557945,263.5,58.67346807,871.4106986,15.0867811,-0.245299543,-0.080983349,-0.272531144,-0.068569102
hall.us,Fertilized,4,6,2.584962501,1.120635174,2.893984815,0.522902488,1.156278585,9.5,0.26344424,2.089326451,0.737397775,0.699463999,1.436861773,316.5,30.10082411,871.4106986,15.0867811,0.387837192,-0.034861107,0.476584051,0.580570736
hart.us,Fertilized,4,9.166666667,3.196397213,1.807398666,4.740504404,0.693214498,1.013255393,13.75,0.398945189,0.827947878,0.167880448,-0.075383702,0.092496746,158,46.32593549,747.4471651,25.01022566,-0.057693933,-0.776309934,-0.831449738,-0.839406219
hart.us,Control,4,8.833333333,3.142957954,2.161252681,5.767939865,0.781390162,1.114703558,14.25,0.324338706,1.001496517,0.017756115,-0.037073296,-0.019317181,100.875,26.7904881,747.4471651,25.01022566,-0.256511414,-0.753260419,-1.008638144,-0.925979819
